# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1776202797.8813977,0,-0.6847712993621826,2.2341220378875732,0,0,0,0
1,1776202797.8981004,3200,-0.6847712993621826,1.7602242231369019,0,0,0,0
2,1776202797.9855547,6400,-0.6847712993621826,1.7602242231369019,0.5644171833992004,2.1864287853240967,0,0
3,1776202798.0406826,9600,-0.6847712993621826,1.7602242231369019,0.5644171833992004,2.1864287853240967,0.8476821184158325,1.859259009361267
4,1776202798.0749454,12800,-0.6847712993621826,1.7602242231369019,0.5644171833992004,2.1864287853240967,0.7118157148361206,2.1418440341949463
5,1776202798.1619196,16000,-0.6847712993621826,1.7602242231369019,0.7080150246620178,1.7524518966674805,0.7118157148361206,2.1418440341949463
6,1776202806.1434448,19200,-0.795764684677124,1.5678726434707642,0.7080150246620178,1.7524518966674805,0.7118157148361206,2.1418440341949463
7,1776202806.4156938,22400,-0.8602966070175171,1.4600679874420166,0.7080150246620178,1.7524518966674805,0.7118157148361206,2.1418440341949463
8,1776202806.813973,25600,-0.8602966070175171,1.4600679874420166,0.7080150246620178,1.7524518966674805,0.8019599914550781,1.4874070882797241
9,1776202807.5016005,28800,-0.8602966070175171,1.4600679874420166,0.8130952715873718,1.5917338132858276,0.8019599914550781,1.4874070882797241
10,1776202807.5620658,32000,-0.8602966070175171,1.4600679874420166,0.8130952715873718,1.5917338132858276,0.8679370284080505,1.4338221549987793
11,1776202807.8642526,35200,-0.8602966070175171,1.4600679874420166,0.87144935131073,1.4023951292037964,0.8679370284080505,1.4338221549987793
12,1776202815.0021164,38400,-0.961237370967865,0.7654089331626892,0.87144935131073,1.4023951292037964,0.8679370284080505,1.4338221549987793
13,1776202815.6338387,41600,-0.961237370967865,0.7654089331626892,0.87144935131073,1.4023951292037964,0.9687215685844421,0.7597172260284424
14,1776202816.339842,44800,-1.0103907585144043,1.617139220237732,0.87144935131073,1.4023951292037964,0.9687215685844421,0.7597172260284424
15,1776202816.4427056,48000,-1.0103907585144043,1.617139220237732,0.9721595048904419,0.7796105742454529,0.9687215685844421,0.7597172260284424
16,1776202817.0291097,51200,-1.0103907585144043,1.617139220237732,0.9721595048904419,0.7796105742454529,1.0135786533355713,1.7436028718948364
17,1776202818.1021242,54400,-1.0103907585144043,1.617139220237732,1.0194352865219116,1.3204087018966675,1.0135786533355713,1.7436028718948364
18,1776202825.0568118,57600,-1.039568305015564,0.6210209727287292,1.0194352865219116,1.3204087018966675,1.0135786533355713,1.7436028718948364
19,1776202825.7150924,60800,-1.0657198429107666,0.7085538506507874,1.0194352865219116,1.3204087018966675,1.0135786533355713,1.7436028718948364
20,1776202825.7840235,64000,-1.0657198429107666,0.7085538506507874,1.0194352865219116,1.3204087018966675,1.0433849096298218,0.6170127391815186
21,1776202826.3883653,67200,-1.0657198429107666,0.7085538506507874,1.0194352865219116,1.3204087018966675,1.07014000415802,0.7374452948570251
22,1776202826.844973,70400,-1.0657198429107666,0.7085538506507874,1.0460504293441772,0.6594209671020508,1.07014000415802,0.7374452948570251
23,1776202827.5931218,73600,-1.0657198429107666,0.7085538506507874,1.0721337795257568,0.8213300704956055,1.07014000415802,0.7374452948570251
24,1776202835.1009946,76800,-1.0905665159225464,0.7376993894577026,1.0721337795257568,0.8213300704956055,1.07014000415802,0.7374452948570251
25,1776202835.834792,80000,-1.0905665159225464,0.7376993894577026,1.0721337795257568,0.8213300704956055,1.093457818031311,0.7433071732521057
26,1776202835.930453,83200,-1.1102228164672852,0.8559576272964478,1.0721337795257568,0.8213300704956055,1.093457818031311,0.7433071732521057
27,1776202836.6319969,86400,-1.1102228164672852,0.8559576272964478,1.0721337795257568,0.8213300704956055,1.1135238409042358,0.8428722023963928
28,1776202837.1029646,89600,-1.1102228164672852,0.8559576272964478,1.096016764640808,0.7207383513450623,1.1135238409042358,0.8428722023963928
29,1776202837.9025805,92800,-1.1102228164672852,0.8559576272964478,1.1149176359176636,1.0092555284500122,1.1135238409042358,0.8428722023963928
30,1776202843.97212,96000,-1.132733702659607,0.7612045407295227,1.1149176359176636,1.0092555284500122,1.1135238409042358,0.8428722023963928
31,1776202844.68199,99200,-1.132733702659607,0.7612045407295227,1.1149176359176636,1.0092555284500122,1.1395671367645264,0.7751992344856262
32,1776202844.960764,102400,-1.150408148765564,0.9429816007614136,1.1149176359176636,1.0092555284500122,1.1395671367645264,0.7751992344856262
33,1776202845.702331,105600,-1.150408148765564,0.9429816007614136,1.1149176359176636,1.0092555284500122,1.1554405689239502,0.93527752161026
34,1776202846.1103938,108800,-1.150408148765564,0.9429816007614136,1.141443133354187,0.8817484378814697,1.1554405689239502,0.93527752161026
35,1776202846.9673615,112000,-1.150408148765564,0.9429816007614136,1.1621288061141968,1.0085585117340088,1.1554405689239502,0.93527752161026
36,1776202852.9472127,115200,-1.168752908706665,0.7185591459274292,1.1621288061141968,1.0085585117340088,1.1554405689239502,0.93527752161026
37,1776202853.5645578,118400,-1.168752908706665,0.7185591459274292,1.1621288061141968,1.0085585117340088,1.1701711416244507,0.6973130702972412
38,1776202854.6714008,121600,-1.1826094388961792,0.905940055847168,1.1621288061141968,1.0085585117340088,1.1701711416244507,0.6973130702972412
39,1776202855.4437072,124800,-1.1826094388961792,0.905940055847168,1.1621288061141968,1.0085585117340088,1.183957815170288,0.9032827615737915
40,1776202855.5013955,128000,-1.1826094388961792,0.905940055847168,1.1768932342529297,0.7018080949783325,1.183957815170288,0.9032827615737915
41,1776202857.0370107,131200,-1.1826094388961792,0.905940055847168,1.1919409036636353,0.6822960376739502,1.183957815170288,0.9032827615737915
42,1776202862.3806953,134400,-1.1913505792617798,0.8522601127624512,1.1919409036636353,0.6822960376739502,1.183957815170288,0.9032827615737915
43,1776202863.3188362,137600,-1.1913505792617798,0.8522601127624512,1.1919409036636353,0.6822960376739502,1.1927295923233032,0.8742560148239136
44,1776202864.9586325,140800,-1.2083090543746948,0.9387385249137878,1.1919409036636353,0.6822960376739502,1.1927295923233032,0.8742560148239136
45,1776202866.2321634,144000,-1.2083090543746948,0.9387385249137878,1.1919409036636353,0.6822960376739502,1.2097464799880981,0.9482851028442383
46,1776202866.8805149,147200,-1.2083090543746948,0.9387385249137878,1.2017805576324463,1.097885012626648,1.2097464799880981,0.9482851028442383
47,1776202867.9476416,150400,-1.2083090543746948,0.9387385249137878,1.21733820438385,0.8470045328140259,1.2097464799880981,0.9482851028442383
48,1776202872.4433699,153600,-1.2202255725860596,0.9145341515541077,1.21733820438385,0.8470045328140259,1.2097464799880981,0.9482851028442383
49,1776202873.2347145,156800,-1.2202255725860596,0.9145341515541077,1.21733820438385,0.8470045328140259,1.2232908010482788,0.9367454051971436
50,1776202873.9552577,160000,-1.233004093170166,0.5913839340209961,1.21733820438385,0.8470045328140259,1.2232908010482788,0.9367454051971436
51,1776202875.1933,163200,-1.233004093170166,0.5913839340209961,1.21733820438385,0.8470045328140259,1.2364671230316162,0.6026052832603455
52,1776202876.1443849,166400,-1.233004093170166,0.5913839340209961,1.229157567024231,0.6278536915779114,1.2364671230316162,0.6026052832603455
53,1776202877.9327872,169600,-1.233004093170166,0.5913839340209961,1.2391539812088013,0.5859823226928711,1.2364671230316162,0.6026052832603455
54,1776202881.334725,172800,-1.2453020811080933,0.7658759951591492,1.2391539812088013,0.5859823226928711,1.2364671230316162,0.6026052832603455
55,1776202882.1162083,176000,-1.2453020811080933,0.7658759951591492,1.2391539812088013,0.5859823226928711,1.2490959167480469,0.8083240985870361
